Cores,Pure MPI : Ref,1 MPI : D&C,4 MPI : D&C,8 MPI : D&C,12 MPI : D&C,1 MPI : Color,4 MPI : Color,8 MPI : Color,12 MPI : Color
1,1,"1,05",,,,"0,51",,,
2,,"0,94",,,,"0,45",,,
3,,"0,86",,,,"0,43",,,
4,"0,86","0,86","1,06",,,"0,41","0,56",,
6,,"0,77",,,,"0,38",,,
8,"0,63","0,7","0,99","1,02",,"0,35","0,41","0,52",
12,"0,5","0,57","0,82",,1,"0,26","0,45",,"0,46"
