Cores,Ideal scaling,Pure MPI : Ref,1 MPI : D&C,1 MPI : Color
1,1,1,1.05,0.51
2,1,0.93,0.94,0.45
4,1,0.86,0.86,0.41
6,1,0.75,0.77,0.38
8,1,0.63,0.7,0.35
12,1,0.5,0.57,0.26
